"","fm_1","fm_2","fm_3","m_4","m_5","m_6"
"WBGene00021271",0,0,0,7,3,5
"WBGene00021270",6,1,1,4,1,1
"WBGene00021269",0,2,1,0,1,0
"WBGene00000800",8,12,5,8,7,8
"WBGene00023172",0,0,0,0,0,1
"WBGene00018231",0,0,0,0,0,0
"WBGene00018230",3,2,2,1,2,2
"WBGene00018232",0,0,0,4,2,1
"WBGene00018233",0,0,0,0,0,0
"WBGene00017979",2,2,1,2,2,4
"WBGene00017980",1,0,0,0,3,1
"WBGene00000788",18,15,13,21,30,18
"WBGene00017978",0,0,0,8,8,8
"WBGene00017977",0,0,0,0,0,0
"WBGene00017976",0,0,0,0,0,0
"WBGene00017975",0,0,0,4,6,3
"WBGene00003006",0,0,0,1,1,1
"WBGene00001048",2,0,1,1,0,0
"WBGene00022128",3,0,0,2,0,0
"WBGene00004920",5,2,5,1,1,1
"WBGene00022127",15,10,13,2,4,2
"WBGene00022126",5,3,0,2,2,0
"WBGene00022129",0,0,1,0,0,0
"WBGene00004043",4,2,5,11,3,5
"WBGene00022130",0,0,1,1,1,0
"WBGene00004946",10,7,7,3,4,1
"WBGene00022125",1,1,0,0,2,0
"WBGene00022131",0,0,0,0,3,1
"WBGene00022133",0,0,0,1,0,1
"WBGene00020990",0,0,0,31,29,22
"WBGene00255550",0,0,0,1,0,0
"WBGene00020984",0,1,0,1,1,1
"WBGene00020989",0,1,1,4,4,6
"WBGene00020988",0,0,0,0,0,0
"WBGene00020985",0,0,0,1,1,1
"WBGene00002174",1,0,2,3,0,3
"WBGene00020987",0,0,0,3,0,0
"WBGene00044796",0,0,0,0,0,0
"WBGene00020986",0,0,0,2,3,2
"WBGene00004077",0,1,2,0,0,2
"WBGene00021125",0,0,0,0,0,0
"WBGene00021127",0,0,0,0,0,0
"WBGene00021128",1,1,3,7,7,12
"WBGene00044433",0,0,0,0,0,0
"WBGene00022115",1,3,3,1,0,0
"WBGene00022117",1,6,4,1,0,3
"WBGene00004412",55,71,71,43,63,54
"WBGene00022114",13,6,19,14,5,10
"WBGene00022113",0,1,1,0,2,0
"WBGene00022118",1,1,1,0,0,1
"WBGene00000199",5,6,5,2,3,1
"WBGene00022112",0,0,0,0,0,0
"WBGene00304792",0,0,0,0,0,0
"WBGene00022111",0,0,0,0,0,0
"WBGene00022119",16,16,13,18,17,20
"WBGene00001791",0,2,0,1,0,0
"WBGene00022110",0,0,0,0,1,1
"WBGene00004049",0,4,3,5,3,5
"WBGene00022108",0,1,0,2,1,2
"WBGene00022107",1,0,3,2,0,0
"WBGene00022122",9,13,27,10,15,9
"WBGene00003836",2,3,2,0,0,1
"WBGene00022121",7,2,4,1,2,1
"WBGene00306080",0,0,0,0,0,0
"WBGene00045398",0,0,0,0,0,0
"WBGene00284845",0,0,0,0,0,0
"WBGene00000237",1,1,0,1,3,1
"WBGene00044894",0,0,1,0,0,0
"WBGene00022123",0,0,0,0,0,1
"WBGene00022124",3,0,2,1,0,1
"WBGene00001046",2,4,0,5,0,4
"WBGene00021839",4,5,5,9,4,0
"WBGene00021838",0,0,1,1,1,0
"WBGene00003186",1,4,2,5,3,2
"WBGene00000625",0,0,0,0,0,0
"WBGene00021843",2,5,2,1,6,3
"WBGene00021842",2,1,3,3,1,0
"WBGene00021844",5,7,7,10,4,6
"WBGene00021845",4,2,2,1,1,1
"WBGene00021841",3,4,1,1,1,0
"WBGene00003387",0,0,0,0,0,2
"WBGene00021846",1,2,0,0,1,0
"WBGene00021840",2,1,2,1,2,1
"WBGene00000205",1,1,1,2,1,1
"WBGene00019697",8,4,5,0,1,2
"WBGene00019698",4,2,2,1,3,1
"WBGene00003654",0,0,1,0,0,0
"WBGene00195056",0,0,0,0,0,0
"WBGene00016663",0,0,0,1,1,0
"WBGene00219460",0,0,0,1,0,0
"WBGene00000626",0,0,0,1,3,0
"WBGene00045387",0,0,0,0,0,0
"WBGene00019597",0,0,0,0,0,0
"WBGene00003062",8,8,10,0,2,2
"WBGene00019595",2,3,1,0,0,0
"WBGene00019598",0,0,1,0,0,0
"WBGene00019594",0,0,0,0,0,0
"WBGene00006888",25,31,26,16,17,21
"WBGene00021829",3,4,1,0,1,0
"WBGene00021828",2,2,9,4,3,2
"WBGene00021827",3,2,2,0,2,2
"WBGene00021830",1,0,5,0,3,2
"WBGene00021831",3,7,2,3,3,3
"WBGene00021832",3,1,4,2,1,1
"WBGene00021835",1,2,3,1,3,0
"WBGene00001481",0,0,2,4,0,2
"WBGene00004404",0,1,0,1,0,0
"WBGene00000413",3,4,4,1,0,0
"WBGene00021826",3,4,5,3,3,3
"WBGene00003258",5,4,4,4,3,4
"WBGene00021834",0,0,1,1,1,1
"WBGene00021553",0,0,0,3,0,5
"WBGene00021552",2,2,2,1,1,1
